index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
108;false;false;0;0;109;0;0;0;3693894;0;306106;
170;false;false;1;1;170;0;0;9485;3678570;15324;296621;
232;false;false;1;1;232;0;0;9485;3678570;15324;296621;
208;false;false;1;1;208;0;0;9485;3678570;15324;296621;
376;false;false;1;2;375;0;0;9485;3678570;15324;296621;
250;false;false;1;1;250;0;0;9485;3678570;15324;296621;
120;false;false;0;0;121;0;0;0;3693894;0;306106;
142;false;false;1;1;142;0;0;9485;3678570;15324;296621;
164;false;false;1;1;164;0;0;9485;3678570;15324;296621;
226;false;false;1;1;226;0;0;9485;3678570;15324;296621;
206;false;false;1;1;206;0;0;9485;3678570;15324;296621;
156;false;false;1;1;156;0;0;9485;3678570;15324;296621;
144;false;false;1;1;144;0;0;9485;3678570;15324;296621;
202;false;false;1;1;202;0;0;9485;3678570;15324;296621;
132;false;false;1;1;132;0;0;9485;3678570;15324;296621;
186;false;false;1;1;186;0;0;9485;3678570;15324;296621;
248;false;false;1;1;248;0;0;9485;3678570;15324;296621;
160;false;false;1;1;160;0;0;9485;3678570;15324;296621;
166;false;false;1;1;166;0;0;9485;3678570;15324;296621;
212;false;false;1;1;212;0;0;9485;3678570;15324;296621;
192;false;false;1;1;192;0;0;9485;3678570;15324;296621;
184;false;false;1;1;184;0;0;9485;3678570;15324;296621;
178;false;false;1;1;178;0;0;9485;3678570;15324;296621;
168;false;false;1;1;168;0;0;9485;3678570;15324;296621;
158;false;false;1;1;158;0;0;9485;3678570;15324;296621;
176;false;false;1;1;176;0;0;9485;3678570;15324;296621;
228;false;false;1;1;228;0;0;9485;3678570;15324;296621;
190;false;false;1;1;190;0;0;9485;3678570;15324;296621;
138;false;false;1;1;138;0;0;9485;3678570;15324;296621;
222;false;false;1;1;222;0;0;9485;3678570;15324;296621;
238;false;false;1;1;238;0;0;9485;3678570;15324;296621;
234;false;false;1;1;234;0;0;9485;3678570;15324;296621;
162;false;false;1;1;162;0;0;9485;3678570;15324;296621;
240;false;false;1;1;240;0;0;9485;3678570;15324;296621;
230;false;false;1;1;230;0;0;9485;3678570;15324;296621;
128;false;false;1;1;128;0;0;9485;3678570;15324;296621;
180;false;false;1;1;180;0;0;9485;3678570;15324;296621;
140;false;false;1;1;140;0;0;9485;3678570;15324;296621;
174;false;false;1;1;174;0;0;9485;3678570;15324;296621;
216;false;false;1;1;216;0;0;9485;3678570;15324;296621;
188;false;false;1;1;188;0;0;9485;3678570;15324;296621;
236;false;false;1;1;236;0;0;9485;3678570;15324;296621;
200;false;false;1;1;200;0;0;9485;3678570;15324;296621;
210;false;false;1;1;210;0;0;9485;3678570;15324;296621;
398;false;false;1;2;397;0;0;9485;3678570;15324;296621;
134;false;false;1;1;134;0;0;9485;3678570;15324;296621;
204;false;false;1;1;204;0;0;9485;3678570;15324;296621;
194;false;false;1;1;194;0;0;9485;3678570;15324;296621;
172;false;false;1;1;172;0;0;9485;3678570;15324;296621;
260;false;false;1;2;259;0;0;9485;3678570;15324;296621;
218;false;false;1;1;218;0;0;9485;3678570;15324;296621;
244;false;false;1;1;244;0;0;9485;3678570;15324;296621;
246;false;false;1;1;246;0;0;9485;3678570;15324;296621;
220;false;false;1;1;220;0;0;9485;3678570;15324;296621;
494;false;false;1;2;493;0;0;9485;3678570;15324;296621;
282;false;false;1;2;281;0;0;9485;3678570;15324;296621;
476;false;false;1;2;475;0;0;9485;3678570;15324;296621;
342;false;false;1;2;341;0;0;9485;3678570;15324;296621;
252;false;false;1;2;251;0;0;9485;3678570;15324;296621;
262;false;false;1;2;261;0;0;9485;3678570;15324;296621;
354;false;false;1;2;353;0;0;9485;3678570;15324;296621;
406;false;false;1;2;405;0;0;9485;3678570;15324;296621;
310;false;false;1;2;309;0;0;9485;3678570;15324;296621;
434;false;false;1;2;433;0;0;9485;3678570;15324;296621;
450;false;false;1;2;449;0;0;9485;3678570;15324;296621;
306;false;false;1;2;305;0;0;9485;3678570;15324;296621;
268;false;false;1;2;267;0;0;9485;3678570;15324;296621;
324;false;false;1;2;323;0;0;9485;3678570;15324;296621;
274;false;false;1;2;273;0;0;9485;3678570;15324;296621;
334;false;false;1;2;333;0;0;9485;3678570;15324;296621;
400;false;false;1;2;399;0;0;9485;3678570;15324;296621;
