index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
222;false;false;1;1;222;0;0;19170;3693894;0;286936;
146;false;false;1;1;146;0;0;19170;3693894;0;286936;
238;false;false;1;1;238;0;0;19170;3693894;0;286936;
198;false;false;1;1;198;0;0;19170;3693894;0;286936;
234;false;false;1;1;234;0;0;19170;3693894;0;286936;
182;false;false;1;1;182;0;0;19170;3693894;0;286936;
66;false;false;0;0;67;0;0;0;3693894;0;306106;
228;false;false;1;1;228;0;0;19170;3693894;0;286936;
132;false;false;1;1;132;0;0;19170;3693894;0;286936;
144;false;false;1;1;144;0;0;19170;3693894;0;286936;
190;false;false;1;1;190;0;0;19170;3693894;0;286936;
230;false;false;1;1;230;0;0;19170;3693894;0;286936;
126;false;false;1;1;126;0;0;19170;3693894;0;286936;
226;false;false;1;1;226;0;0;19170;3693894;0;286936;
158;false;false;1;1;158;0;0;19170;3693894;0;286936;
194;false;false;1;1;194;0;0;19170;3693894;0;286936;
246;false;false;1;1;246;0;0;19170;3693894;0;286936;
154;false;false;1;1;154;0;0;19170;3693894;0;286936;
128;false;false;1;1;128;0;0;19170;3693894;0;286936;
352;false;false;1;2;351;0;0;19170;3693894;0;286936;
212;false;false;1;1;212;0;0;19170;3693894;0;286936;
292;false;false;1;2;291;0;0;19170;3693894;0;286936;
252;false;false;1;2;251;0;0;19170;3693894;0;286936;
264;false;false;1;2;263;0;0;19170;3693894;0;286936;
542;false;false;1;2;541;0;0;19170;3693894;0;286936;
454;false;false;1;2;453;0;0;19170;3693894;0;286936;
362;false;false;1;2;361;0;0;19170;3693894;0;286936;
266;false;false;1;2;265;0;0;19170;3693894;0;286936;
448;false;false;1;2;447;0;0;19170;3693894;0;286936;
262;false;false;1;2;261;0;0;19170;3693894;0;286936;
580;false;false;1;2;579;0;0;19170;3693894;0;286936;
372;false;false;1;2;371;0;0;19170;3693894;0;286936;
278;false;false;1;2;277;0;0;19170;3693894;0;286936;
392;false;false;1;2;391;0;0;19170;3693894;0;286936;
458;false;false;1;2;457;0;0;19170;3693894;0;286936;
418;false;false;1;2;417;0;0;19170;3693894;0;286936;
402;false;false;1;2;401;0;0;19170;3693894;0;286936;
488;false;false;1;2;487;0;0;19170;3693894;0;286936;
436;false;false;1;2;435;0;0;19170;3693894;0;286936;
258;false;false;1;2;257;0;0;19170;3693894;0;286936;
282;false;false;1;2;281;0;0;19170;3693894;0;286936;
340;false;false;1;2;339;0;0;19170;3693894;0;286936;
280;false;false;1;2;279;0;0;19170;3693894;0;286936;
374;false;false;1;2;373;0;0;19170;3693894;0;286936;
348;false;false;1;2;347;0;0;19170;3693894;0;286936;
256;false;false;1;2;255;0;0;19170;3693894;0;286936;
346;false;false;1;2;345;0;0;19170;3693894;0;286936;
298;false;false;1;2;297;0;0;19170;3693894;0;286936;
274;false;false;1;2;273;0;0;19170;3693894;0;286936;
286;false;false;1;2;285;0;0;19170;3693894;0;286936;
330;false;false;1;2;329;0;0;19170;3693894;0;286936;
270;false;false;1;2;269;0;0;19170;3693894;0;286936;
296;false;false;1;2;295;0;0;19170;3693894;0;286936;
376;false;false;1;2;375;0;0;19170;3693894;0;286936;
260;false;false;1;2;259;0;0;19170;3693894;0;286936;
294;false;false;1;2;293;0;0;19170;3693894;0;286936;
306;false;false;1;2;305;0;0;19170;3693894;0;286936;
254;false;false;1;2;253;0;0;19170;3693894;0;286936;
344;false;false;1;2;343;0;0;19170;3693894;0;286936;
430;false;false;1;2;429;0;0;19170;3693894;0;286936;
310;false;false;1;2;309;0;0;19170;3693894;0;286936;
288;false;false;1;2;287;0;0;19170;3693894;0;286936;
300;false;false;1;2;299;0;0;19170;3693894;0;286936;
320;false;false;1;2;319;0;0;19170;3693894;0;286936;
358;false;false;1;2;357;0;0;19170;3693894;0;286936;
364;false;false;1;2;363;0;0;19170;3693894;0;286936;
268;false;false;1;2;267;0;0;19170;3693894;0;286936;
366;false;false;1;2;365;0;0;19170;3693894;0;286936;
386;false;false;1;2;385;0;0;19170;3693894;0;286936;
500;false;false;1;2;499;0;0;19170;3693894;0;286936;
356;false;false;1;2;355;0;0;19170;3693894;0;286936;
326;false;false;1;2;325;0;0;19170;3693894;0;286936;
338;false;false;1;2;337;0;0;19170;3693894;0;286936;
388;false;false;1;2;387;0;0;19170;3693894;0;286936;
460;false;false;1;2;459;0;0;19170;3693894;0;286936;
476;false;false;1;2;475;0;0;19170;3693894;0;286936;
334;false;false;1;2;333;0;0;19170;3693894;0;286936;
336;false;false;1;2;335;0;0;19170;3693894;0;286936;
332;false;false;1;2;331;0;0;19170;3693894;0;286936;
452;false;false;1;2;451;0;0;19170;3693894;0;286936;
316;false;false;1;2;315;0;0;19170;3693894;0;286936;
414;false;false;1;2;413;0;0;19170;3693894;0;286936;
308;false;false;1;2;307;0;0;19170;3693894;0;286936;
360;false;false;1;2;359;0;0;19170;3693894;0;286936;
322;false;false;1;2;321;0;0;19170;3693894;0;286936;
304;false;false;1;2;303;0;0;19170;3693894;0;286936;
408;false;false;1;2;407;0;0;19170;3693894;0;286936;
314;false;false;1;2;313;0;0;19170;3693894;0;286936;
302;false;false;1;2;301;0;0;19170;3693894;0;286936;
400;false;false;1;2;399;0;0;19170;3693894;0;286936;
412;false;false;1;2;411;0;0;19170;3693894;0;286936;
370;false;false;1;2;369;0;0;19170;3693894;0;286936;
312;false;false;1;2;311;0;0;19170;3693894;0;286936;
354;false;false;1;2;353;0;0;19170;3693894;0;286936;
324;false;false;1;2;323;0;0;19170;3693894;0;286936;
440;false;false;1;2;439;0;0;19170;3693894;0;286936;
472;false;false;1;2;471;0;0;19170;3693894;0;286936;
272;false;false;1;2;271;0;0;19170;3693894;0;286936;
350;false;false;1;2;349;0;0;19170;3693894;0;286936;
382;false;false;1;2;381;0;0;19170;3693894;0;286936;
342;false;false;1;2;341;0;0;19170;3693894;0;286936;
404;false;false;1;2;403;0;0;19170;3693894;0;286936;
444;false;false;1;2;443;0;0;19170;3693894;0;286936;
496;false;false;1;2;495;0;0;19170;3693894;0;286936;
276;false;false;1;2;275;0;0;19170;3693894;0;286936;
368;false;false;1;2;367;0;0;19170;3693894;0;286936;
456;false;false;1;2;455;0;0;19170;3693894;0;286936;
432;false;false;1;2;431;0;0;19170;3693894;0;286936;
284;false;false;1;2;283;0;0;19170;3693894;0;286936;
468;false;false;1;2;467;0;0;19170;3693894;0;286936;
470;false;false;1;2;469;0;0;19170;3693894;0;286936;
416;false;false;1;2;415;0;0;19170;3693894;0;286936;
390;false;false;1;2;389;0;0;19170;3693894;0;286936;
420;false;false;1;2;419;0;0;19170;3693894;0;286936;
394;false;false;1;2;393;0;0;19170;3693894;0;286936;
426;false;false;1;2;425;0;0;19170;3693894;0;286936;
424;false;false;1;2;423;0;0;19170;3693894;0;286936;
490;false;false;1;2;489;0;0;19170;3693894;0;286936;
492;false;false;1;2;491;0;0;19170;3693894;0;286936;
474;false;false;1;2;473;0;0;19170;3693894;0;286936;
428;false;false;1;2;427;0;0;19170;3693894;0;286936;
484;false;false;1;2;483;0;0;19170;3693894;0;286936;
442;false;false;1;2;441;0;0;19170;3693894;0;286936;
406;false;false;1;2;405;0;0;19170;3693894;0;286936;
502;false;false;1;2;501;0;0;19170;3693894;0;286936;
450;false;false;1;2;449;0;0;19170;3693894;0;286936;
438;false;false;1;2;437;0;0;19170;3693894;0;286936;
482;false;false;1;2;481;0;0;19170;3693894;0;286936;
494;false;false;1;2;493;0;0;19170;3693894;0;286936;
466;false;false;1;2;465;0;0;19170;3693894;0;286936;
480;false;false;1;2;479;0;0;19170;3693894;0;286936;
396;false;false;1;2;395;0;0;19170;3693894;0;286936;
422;false;false;1;2;421;0;0;19170;3693894;0;286936;
514;false;false;1;2;513;0;0;19170;3693894;0;286936;
434;false;false;1;2;433;0;0;19170;3693894;0;286936;
478;false;false;1;2;477;0;0;19170;3693894;0;286936;
318;false;false;1;2;317;0;0;19170;3693894;0;286936;
464;false;false;1;2;463;0;0;19170;3693894;0;286936;
498;false;false;1;2;497;0;0;19170;3693894;0;286936;
398;false;false;1;2;397;0;0;19170;3693894;0;286936;
410;false;false;1;2;409;0;0;19170;3693894;0;286936;
378;false;false;1;2;377;0;0;19170;3693894;0;286936;
486;false;false;1;2;485;0;0;19170;3693894;0;286936;
384;false;false;1;2;383;0;0;19170;3693894;0;286936;
714;false;false;5;8;705;2;0;72995;3662483;31411;233111;
446;false;false;1;2;445;0;0;19170;3693894;0;286936;
604;false;false;1;2;603;0;0;19170;3693894;0;286936;
504;false;false;1;2;503;0;0;19170;3693894;0;286936;
516;false;false;1;2;515;0;0;19170;3693894;0;286936;
380;false;false;1;2;379;0;0;19170;3693894;0;286936;
518;false;false;1;2;517;0;0;19170;3693894;0;286936;
544;false;false;1;2;543;0;0;19170;3693894;0;286936;
530;false;false;1;2;529;0;0;19170;3693894;0;286936;
510;false;false;1;2;509;0;0;19170;3693894;0;286936;
794;false;false;5;14;779;2;0;72995;3662483;31411;233111;
614;false;false;1;2;613;0;0;19170;3693894;0;286936;
624;false;true;2;4;621;0;0;38367;3693894;0;267739;
670;false;false;5;8;661;2;0;72995;3662483;31411;233111;
654;false;false;5;8;645;2;0;72995;3662483;31411;233111;
710;false;false;5;8;701;2;0;72995;3662483;31411;233111;
706;false;false;5;8;697;2;0;72995;3662483;31411;233111;
700;false;false;5;8;691;2;0;72995;3662483;31411;233111;
644;false;false;5;8;635;2;0;72995;3662483;31411;233111;
740;false;false;5;8;731;2;0;72995;3662483;31411;233111;
534;false;false;1;2;533;0;0;19170;3693894;0;286936;
592;false;false;1;2;591;0;0;19170;3693894;0;286936;
832;false;false;5;14;817;2;0;72995;3662483;31411;233111;
532;false;false;1;2;531;0;0;19170;3693894;0;286936;
688;false;false;5;8;679;2;0;72995;3662483;31411;233111;
508;false;false;1;2;507;0;0;19170;3693894;0;286936;
600;false;false;1;2;599;0;0;19170;3693894;0;286936;
546;false;false;1;2;545;0;0;19170;3693894;0;286936;
626;true;true;3;5;622;0;0;47014;3678014;15880;259092;
538;false;false;1;2;537;0;0;19170;3693894;0;286936;
598;false;false;1;2;597;0;0;19170;3693894;0;286936;
526;false;false;1;2;525;0;0;19170;3693894;0;286936;
550;false;false;1;2;549;0;0;19170;3693894;0;286936;
548;false;false;1;2;547;0;0;19170;3693894;0;286936;
