index;needs_update;updated;size;true_positive_self;true_negative_self;false_positive_self;false_negative_self;true_positive_eval;true_negative_eval;false_positive_eval;false_negative_eval;
163000;false;false;38;15363;98346;49292;0;305991;2474458;1219436;115;
158000;false;true;38;15258;95064;47679;0;305991;2474458;1219436;115;
159000;false;false;38;15266;95771;47964;0;305991;2474458;1219436;115;
143000;false;true;38;14536;83825;44640;0;305991;2474458;1219436;115;
174000;false;false;38;15608;105888;52505;0;305991;2474458;1219436;115;
160000;false;true;38;15290;96463;48248;0;305991;2474458;1219436;115;
170000;false;false;38;15500;103074;51427;0;305991;2474458;1219436;115;
179000;false;false;38;15738;109220;54043;0;305991;2474458;1219436;115;
175000;false;false;38;15632;106459;52910;0;305991;2474458;1219436;115;
164000;false;false;38;15383;99007;49611;0;305991;2474458;1219436;115;
171000;false;false;38;15525;103923;51553;0;305991;2474458;1219436;115;
173000;false;false;38;15577;105072;52352;0;305991;2474458;1219436;115;
181000;false;false;38;15784;110554;54663;0;305991;2474458;1219436;115;
183000;false;false;38;15814;111801;55386;0;305991;2474458;1219436;115;
184000;false;false;38;15843;112487;55671;0;305991;2474458;1219436;115;
177000;false;false;38;15694;107821;53486;0;305991;2474458;1219436;115;
166000;false;false;38;15410;100417;50174;0;305991;2474458;1219436;115;
168000;false;false;38;15464;101808;50729;0;305991;2474458;1219436;115;
161000;false;true;38;15316;96958;48727;0;305991;2474458;1219436;115;
178000;false;false;38;15720;108519;53762;0;305991;2474458;1219436;115;
182000;false;false;38;15804;111316;54881;0;305991;2474458;1219436;115;
180000;false;false;38;15750;109866;54385;0;305991;2474458;1219436;115;
185000;false;false;38;15862;113406;55733;0;305991;2474458;1219436;115;
176000;false;false;38;15664;107135;53202;0;305991;2474458;1219436;115;
187000;false;false;38;15890;114593;56518;0;305991;2474458;1219436;115;
172000;false;false;38;15542;104403;52056;0;305991;2474458;1219436;115;
190000;false;false;38;15956;116685;57360;0;305991;2474458;1219436;115;
193000;false;false;38;16011;118767;58223;0;305991;2474458;1219436;115;
189000;false;false;38;15928;115999;57074;0;305991;2474458;1219436;115;
196000;false;false;38;16069;120846;59086;0;305991;2474458;1219436;115;
191000;false;false;38;15970;117385;57646;0;305991;2474458;1219436;115;
188000;false;false;38;15906;115297;56798;0;305991;2474458;1219436;115;
186000;false;false;38;15874;113909;56218;0;305991;2474458;1219436;115;
192000;false;false;38;15992;118066;57943;0;305991;2474458;1219436;115;
195000;false;false;38;16046;119972;58983;0;305991;2474458;1219436;115;
194000;false;false;38;16018;119292;58691;0;305991;2474458;1219436;115;
197000;false;false;38;16095;121322;59584;0;305991;2474458;1219436;115;
198000;false;false;38;16102;122024;59875;0;305991;2474458;1219436;115;
199000;false;false;38;16120;122806;60075;0;305991;2474458;1219436;115;
